日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-27,600519,1400.0,1416.02,1426.0,1396.66,30087,4257499781.0,2.09,1.06,14.84,0.24
2026-03-30,600519,1407.0,1420.0,1431.0,1402.52,28685,4060684934.0,2.01,0.28,3.98,0.23
2026-03-31,600519,1468.0,1450.0,1479.93,1448.41,61691,9015486797.0,2.22,2.11,30.0,0.49
2026-04-01,600519,1464.49,1459.44,1469.99,1452.88,29125,4256185472.0,1.18,0.65,9.44,0.23
2026-04-02,600519,1459.44,1459.88,1464.88,1452.1,21064,3071809846.0,0.88,0.03,0.44,0.17
2026-04-03,600519,1459.54,1460.0,1469.96,1455.0,20194,2953993081.0,1.02,0.01,0.12,0.16
2026-04-07,600519,1460.05,1440.02,1470.0,1435.05,24152,3507471653.0,2.39,-1.37,-19.98,0.19
2026-04-08,600519,1460.0,1465.02,1469.08,1452.13,33836,4947937007.0,1.18,1.74,25.0,0.27
2026-04-09,600519,1465.02,1460.49,1465.02,1447.5,20705,3012278579.0,1.2,-0.31,-4.53,0.17
2026-04-10,600519,1459.14,1453.96,1459.71,1441.1,28866,4187181529.0,1.27,-0.45,-6.53,0.23
2026-04-13,600519,1444.0,1443.31,1446.5,1433.0,25214,3629675490.0,0.93,-0.73,-10.65,0.2
2026-04-14,600519,1442.6,1446.9,1448.6,1435.0,24233,3492544230.0,0.94,0.25,3.59,0.19
2026-04-15,600519,1444.98,1467.5,1470.79,1442.0,34553,5049317187.0,1.99,1.42,20.6,0.28
2026-04-16,600519,1467.45,1462.84,1477.41,1460.0,24513,3597294838.0,1.19,-0.32,-4.66,0.2
2026-04-17,600519,1400.0,1407.24,1421.0,1399.87,96825,13631929446.0,1.44,-3.8,-55.6,0.77
2026-04-20,600519,1403.0,1410.89,1413.94,1400.0,36451,5127146041.0,0.99,0.26,3.65,0.29
2026-04-21,600519,1411.0,1412.01,1419.9,1410.0,21754,3074595192.0,0.7,0.08,1.12,0.17
2026-04-22,600519,1415.0,1409.5,1419.0,1404.98,26916,3793827534.0,0.99,-0.18,-2.51,0.21
2026-04-23,600519,1408.0,1419.0,1419.7,1405.1,37701,5332831151.0,1.04,0.67,9.5,0.3
2026-04-24,600519,1413.1,1458.49,1458.88,1413.1,55455,8003410999.0,3.23,2.78,39.49,0.44
